Unnamed: 0,name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost
47268,Banashankri Donne Biriyani,No,No,3.7,0,Ulsoor,Quick Bites,"Biryani, Fast Food",300.0
18334,FTB Restaurant,Yes,No,3.7,0,Thippasandra,"Takeaway, Delivery","North Indian, Bengali, Chinese, Seafood",500.0
26151,Panchamukhi Sagar,No,No,3.2,4,Banaswadi,Quick Bites,"North Indian, South Indian, Chinese",300.0
33104,Desi Tadka,No,No,3.7,0,Ejipura,Quick Bites,North Indian,200.0
3246,Darkolates,No,No,3.7,0,Banashankari,Confectionery,Desserts,200.0
44453,The Biryanis,Yes,No,3.8,427,Jeevan Bhima Nagar,Casual Dining,"Andhra, Biryani, North Indian",500.0
46807,The Blackboard Bakery,No,Yes,3.8,98,Lavelle Road,"Cafe, Bakery","Cafe, Bakery, Continental",1000.0
18009,Happy Fillings,Yes,No,3.4,8,Ulsoor,Quick Bites,Chinese,300.0
30438,Shater Grill House,No,No,3.5,8,BTM,Casual Dining,"North Indian, Arabian, Chinese",700.0
49741,Healthie,Yes,No,3.9,121,Whitefield,Delivery,"Healthy Food, Beverages",600.0
27046,Oye Mithai,Yes,No,3.7,0,Koramangala 1st Block,Sweet Shop,Mithai,200.0
13320,The Good Bowl,Yes,No,3.9,23,Electronic City,"Takeaway, Delivery","Italian, North Indian, Biryani",500.0
47052,Dindigul Thalappakatti,Yes,No,3.7,0,MG Road,Casual Dining,"Biryani, Chinese, North Indian, South Indian",800.0
27269,Momo Time,Yes,No,3.7,0,BTM,Quick Bites,"Momos, American",600.0
7603,Paratha Mania,Yes,No,3.7,0,"ITPL Main Road, Whitefield","Takeaway, Delivery","North Indian, Chinese",200.0
2798,Cafe Mondo,Yes,No,3.7,514,Basavanagudi,Cafe,"Cafe, Italian, Beverages",600.0
37847,Bangalore Biriyani,No,No,3.7,0,Shanti Nagar,"Takeaway, Delivery","Biryani, Kebab",250.0
26890,Thanco's Natural Ice Cream,Yes,No,3.6,28,BTM,Dessert Parlor,"Ice Cream, Desserts",450.0
28631,Momo Time,Yes,No,3.7,0,Ejipura,Quick Bites,"Momos, Chinese",300.0
31936,Sardarji Londonwaley,Yes,No,4.1,327,Koramangala 1st Block,Delivery,North Indian,450.0
6124,Indian Durbar - Conrad Bengaluru,No,Yes,3.9,48,Ulsoor,Fine Dining,North Indian,3000.0
16818,CakeBox,Yes,No,3.5,18,HSR,Bakery,"Bakery, Desserts",400.0
880,Cafe Conico,No,No,3.7,0,Bannerghatta Road,Cafe,"Cafe, Beverages",600.0
20336,Vindu Andhra Ruchulu,Yes,No,3.8,283,Jayanagar,Casual Dining,"Biryani, North Indian, Andhra",800.0
20745,Kanti Sweets,Yes,No,3.9,148,Jayanagar,Quick Bites,"Mithai, Street Food",400.0
45402,BabaYaga's,No,Yes,4.0,244,Indiranagar,"Bar, Casual Dining","American, Finger Food",1500.0
13532,Gilly's Restobar,No,Yes,4.3,1249,Electronic City,"Pub, Casual Dining","Continental, North Indian, Chinese, Salad",1200.0
32453,Smokey Tribe Restaurant,Yes,No,3.8,267,Koramangala 7th Block,Casual Dining,"North Eastern, Chinese",650.0
48410,Potful,Yes,No,4.0,856,Sarjapur Road,Delivery,"Biryani, Kebab, Rolls, Mughlai",650.0
8856,Andhra Ruchulu,Yes,Yes,4.2,1430,JP Nagar,Casual Dining,"Andhra, North Indian",800.0
50006,Risalo Restaurant,Yes,No,3.7,0,Brookefield,Quick Bites,"North Indian, Chinese",400.0
16872,Third Wave Coffee Roasters,Yes,No,4.2,141,HSR,Cafe,"Cafe, Continental",800.0
49304,Chullah Chandigarh,No,No,4.2,330,Bellandur,Casual Dining,North Indian,800.0
34506,On The Nose,Yes,No,2.7,26,Koramangala 5th Block,Cafe,"Cafe, Italian, Mexican, Chinese",600.0
39314,Cafe Poetry,Yes,No,3.7,55,New BEL Road,Cafe,"Cafe, Beverages, Healthy Food",400.0
2805,Mug N Bean,Yes,No,3.9,247,Jayanagar,Cafe,"Cafe, Continental, Italian, Burger",400.0
8356,The Good Bowl,Yes,No,3.7,9,Bannerghatta Road,"Takeaway, Delivery","Italian, North Indian, Biryani",500.0
17021,Punjabi Nukkad Pure Veg,Yes,No,4.0,769,HSR,Quick Bites,"North Indian, Chinese, Juices",500.0
23637,Brahma Brews,No,Yes,3.7,0,JP Nagar,"Microbrewery, Casual Dining","Continental, South Indian, Finger Food, Pizza, Seafood",1400.0
5425,Gelato Italiano,Yes,No,3.0,40,Brigade Road,Dessert Parlor,"Ice Cream, Bakery, Desserts",200.0
15948,Aroma Cafe,No,No,3.7,0,HSR,Quick Bites,"Rolls, Sandwich",300.0
8008,Chill,No,No,3.8,42,Whitefield,Casual Dining,"North Indian, Chinese, Continental",800.0
8453,Hyderabadi Biryani Hub,Yes,No,3.6,218,BTM,Casual Dining,"Biryani, North Indian, Chinese",600.0
10579,Samosa King,No,No,3.4,6,BTM,Quick Bites,Street Food,200.0
40139,The Mint Resto Bar,No,Yes,2.6,62,Marathahalli,"Casual Dining, Bar","North Indian, Chinese, Andhra",1000.0
48971,Indori Zaika,No,No,3.3,8,Bellandur,"Takeaway, Delivery",North Indian,300.0
15967,Muziris,No,No,3.6,24,HSR,Quick Bites,Kerala,250.0
25445,Art of Biryani & Curries,Yes,No,3.4,9,Rammurthy Nagar,Delivery,Biryani,250.0
17859,Tayabbs,Yes,No,4.0,736,Indiranagar,Quick Bites,"Rolls, North Indian, Fast Food",500.0
47465,Ooty Chocolates,Yes,No,3.5,17,Residency Road,Dessert Parlor,Desserts,300.0
28108,Crown Gold,Yes,No,3.9,49,Koramangala 4th Block,Quick Bites,"South Indian, Chinese, Seafood",400.0
1612,Fresh Code,No,No,3.7,0,Bannerghatta Road,"Takeaway, Delivery","Chinese, North Indian",300.0
29731,New South Corner,Yes,No,3.7,20,BTM,Quick Bites,"South Indian, North Indian, Chinese",300.0
18985,Mikusu - Conrad Bengaluru,No,Yes,4.1,80,Ulsoor,Fine Dining,"Japanese, Chinese, Thai",3000.0
1706,Ningi Family Restaurant,No,No,3.5,10,JP Nagar,Quick Bites,"South Indian, Biryani, Chinese",400.0
48653,Keerthi Restaurant,Yes,No,3.3,11,Sarjapur Road,Quick Bites,"North Indian, Chinese",300.0
42558,Jhonsons Happy Kitchen,No,No,3.7,0,Richmond Road,Quick Bites,"South Indian, Chinese",300.0
25810,Hayaat,No,No,3.4,7,Kammanahalli,Casual Dining,"Kerala, Chinese, North Indian",600.0
27554,Loveshack,No,Yes,4.0,1758,Domlur,"Lounge, Cafe","Continental, Pizza, North Indian, Goan, Burger, Cafe",1600.0
11714,No 10 Fort Cochin,Yes,Yes,3.8,194,St. Marks Road,Casual Dining,"Biryani, Kerala, Seafood, South Indian",800.0
34935,Punjabi Times,Yes,Yes,4.1,1030,Bannerghatta Road,Casual Dining,North Indian,1000.0
42831,Soda Bottle Opener Wala,Yes,Yes,4.4,3712,Lavelle Road,"Casual Dining, Irani Cafee","Parsi, North Indian",1300.0
9970,Tandoor Plaza,No,No,3.7,0,Bannerghatta Road,Casual Dining,North Indian,500.0
50821,Shan-e-Punjabi Express,Yes,No,3.1,76,Whitefield,Quick Bites,North Indian,400.0
32592,Oye Mithai,Yes,No,3.7,0,Koramangala 1st Block,Sweet Shop,Mithai,200.0
25593,Hotel Gowdru Mane,No,No,3.7,0,Banaswadi,Quick Bites,"South Indian, Mangalorean, Chinese, Juices",400.0
21565,Salut,Yes,Yes,4.1,446,Jayanagar,"Pub, Casual Dining","Continental, Finger Food, Seafood, Pizza",1200.0
38175,Hammered,Yes,Yes,4.7,4811,Cunningham Road,"Pub, Cafe","North Indian, Thai, Japanese, Continental, Cafe",1300.0
23598,Sri Basaveshwara Rotti Oota,No,No,3.7,0,Jayanagar,Quick Bites,"South Indian, Fast Food",200.0
36293,Ande Ka Funda,No,No,3.7,73,Koramangala 7th Block,Quick Bites,"North Indian, Chinese, Rolls",250.0
17766,Sanchez Taqueria & Cantina,No,No,3.7,0,Indiranagar,Casual Dining,"Mexican, Tex-Mex",800.0
12284,Green Theory,Yes,Yes,4.2,2840,Residency Road,"Casual Dining, Cafe","Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza",800.0
11602,Karama Restaurant,Yes,Yes,4.4,2866,Frazer Town,Casual Dining,"Arabian, North Indian, Beverages",750.0
36401,What's In A Name,Yes,Yes,4.1,1798,Koramangala 5th Block,Pub,"Finger Food, Asian, European, Italian",1200.0
7221,Magic Paratha Box,No,No,3.7,0,Marathahalli,Quick Bites,North Indian,400.0
27963,The Donut Baker,No,No,3.8,62,Koramangala 7th Block,"Bakery, Dessert Parlor",Desserts,150.0
35118,Tandoor Merchant,Yes,No,3.4,25,BTM,"Takeaway, Delivery","North Indian, Chinese, Fast Food",500.0
8604,China Town 07,Yes,No,3.7,0,BTM,Quick Bites,"Chinese, Momos",300.0
41531,Friends Restaurant,No,No,3.7,0,Marathahalli,Quick Bites,"Bengali, North Indian",250.0
18628,Bootlegger,No,Yes,4.0,601,Indiranagar,Lounge,"Continental, Steak",1800.0
20166,Vaathsalya Millet Cafe,Yes,Yes,4.1,294,JP Nagar,Casual Dining,"Healthy Food, South Indian",500.0
18357,CakeWalk,No,No,4.1,540,Indiranagar,Dessert Parlor,"Desserts, Bakery",500.0
42753,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,Yes,Yes,4.4,725,MG Road,"Casual Dining, Cafe","American, Cafe, Continental",1700.0
39805,Chaatimes,Yes,No,3.9,112,Malleshwaram,Quick Bites,"Street Food, Fast Food",200.0
14461,Aura - Radha Regent,No,Yes,3.6,116,Electronic City,Bar,"Continental, American, South Indian, Italian, North Indian, Chinese",1200.0
12962,Sakae Japanese Restaurant,No,Yes,4.3,519,Shanti Nagar,Casual Dining,Japanese,1400.0
25663,Farha Real Taste Of Kerala,Yes,No,3.1,6,Nagawara,Quick Bites,Kerala,300.0
20197,Food Springs,Yes,No,4.0,233,Jayanagar,Quick Bites,"South Indian, Chinese",400.0
26402,Cafe 221B,Yes,Yes,3.7,49,BTM,Cafe,"Cafe, Beverages",300.0
48122,Al Manar,No,No,3.7,0,Wilson Garden,Quick Bites,"South Indian, North Indian, Chinese",400.0
42696,Mist N Creams,No,No,3.7,0,Brigade Road,Dessert Parlor,Ice Cream,400.0
13564,Sweet Chariot,Yes,No,3.0,60,Electronic City,Dessert Parlor,"Bakery, Fast Food",500.0
37783,Chung Wah,Yes,No,4.0,362,Residency Road,Casual Dining,"Chinese, Thai, Momos, Vietnamese",1000.0
32213,Poha House,Yes,No,3.6,11,BTM,Quick Bites,Maharashtrian,200.0
40503,Ghar Ka Swaad,No,No,3.7,0,Marathahalli,Delivery,North Indian,300.0
26831,Falooda Cafe,Yes,No,3.7,0,BTM,Quick Bites,"Beverages, Desserts",200.0
28126,WOW! Momo,Yes,No,3.9,151,Koramangala 4th Block,Food Court,"Tibetan, Momos",400.0
8000,China On My Plate,Yes,No,3.0,17,Whitefield,Casual Dining,Chinese,800.0
23654,Chavadi,Yes,Yes,4.4,2241,Bannerghatta Road,"Casual Dining, Bar","Continental, North Indian, Pizza, Italian",1200.0
45481,Achayyan's,Yes,No,3.8,410,Indiranagar,Quick Bites,"Kerala, South Indian",350.0
48379,FreshMenu,Yes,No,3.3,120,East Bangalore,Delivery,"Continental, Asian, Healthy Food, Burger, Biryani, Pizza, Italian, Fast Food",450.0
19372,Beijing Bites,Yes,No,3.8,17,BTM,"Takeaway, Delivery","Chinese, Thai, Momos",400.0
10493,Shri Ram Sweet Centre,No,No,4.0,160,BTM,"Quick Bites, Sweet Shop","Street Food, Mithai",150.0
28915,Royal's Biryani,Yes,No,3.7,0,BTM,Quick Bites,Biryani,300.0
22351,Gam's Delicacy,No,No,3.2,6,JP Nagar,Casual Dining,"North Indian, Chinese, Assamese",800.0
47501,Fatima Bakery,No,No,3.7,14,Richmond Road,"Bakery, Quick Bites","Bakery, Fast Food",300.0
15658,Z-Bar,No,No,3.7,0,Infantry Road,"Casual Dining, Bar","Finger Food, North Indian",1500.0
6883,Gusto's Pizza,No,No,3.1,10,Whitefield,"Takeaway, Delivery",Pizza,500.0
18789,Tayabbs,Yes,No,4.0,736,Indiranagar,Quick Bites,"Rolls, North Indian, Fast Food",500.0
8371,Royal Biryani Kitchen,Yes,No,3.9,187,BTM,Quick Bites,"Biryani, North Indian, Kebab",600.0
18139,AutoExpress - Hot Dogs,Yes,No,3.3,6,Indiranagar,"Takeaway, Delivery",Fast Food,300.0
37550,Thai House,Yes,No,4.3,129,Brigade Road,Casual Dining,Thai,700.0
43551,Cafe Coffee Day,Yes,No,3.2,58,New BEL Road,Cafe,"Cafe, Fast Food",900.0
14641,Wild Range Restaurant,Yes,No,3.8,44,Kammanahalli,Casual Dining,"North Indian, Chinese",600.0
576,Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,Cafe,650.0
38092,The Flying Squirrel,No,No,4.0,27,Brigade Road,Cafe,Cafe,450.0
2924,Spice Elephant,Yes,No,4.1,787,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800.0
48001,21 Corner Haus Cafe,No,No,3.7,0,Shanti Nagar,Quick Bites,"North Indian, Chinese, Biryani",300.0
45384,Anjappar,No,No,3.8,777,Indiranagar,Casual Dining,"Chettinad, South Indian",650.0
26822,Lazeez,Yes,No,3.2,909,Koramangala 5th Block,Casual Dining,"North Indian, Mughlai, Biryani",600.0
2411,Kafe Nook,Yes,No,3.6,35,BTM,Quick Bites,Fast Food,300.0
32730,Bombay Kulfis,Yes,No,3.9,27,Koramangala 5th Block,Dessert Parlor,Ice Cream,200.0
38143,Mishra Pedha,No,No,3.3,4,Richmond Road,Sweet Shop,"Mithai, Bakery",300.0
50240,Saha Cabin Bengali Hotel,No,No,3.4,5,Whitefield,Quick Bites,Bengali,300.0
36421,Mustard Cafe,Yes,No,4.1,895,Koramangala 3rd Block,Cafe,"Cafe, Continental, Burger, Salad, Healthy Food, Italian",800.0
39942,Happiest Moment,No,No,3.7,0,Seshadripuram,Quick Bites,"North Indian, Chinese, Biryani",350.0
2947,Jalsa,Yes,Yes,4.1,775,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800.0
36675,Blue Berry Cool Corner,No,No,3.7,0,Koramangala 4th Block,"Quick Bites, Beverage Shop","Fast Food, Beverages",200.0
5601,Amber Rush Restobar,No,Yes,4.1,93,Residency Road,Pub,"Continental, Chinese, Fast Food",1000.0
40977,Jashn,Yes,No,3.7,132,Marathahalli,Casual Dining,North Indian,750.0
45342,MISU,Yes,Yes,4.4,266,Indiranagar,Casual Dining,"Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",1700.0
35873,Tummy Delight,No,No,3.5,16,BTM,Quick Bites,North Indian,400.0
23129,The Paratha Stories,Yes,No,3.7,0,JP Nagar,Quick Bites,North Indian,250.0
5161,SGS Non Veg - Gundu Pulav,Yes,No,3.9,55,St. Marks Road,Quick Bites,"Biryani, Fast Food",400.0
44722,Cafe Soy,Yes,No,3.8,48,Indiranagar,"Takeaway, Delivery",Asian,250.0
26036,Sugar N Spice,No,No,2.7,16,Kalyan Nagar,Quick Bites,"Fast Food, Beverages",400.0
11040,Spice Up,Yes,No,3.8,146,JP Nagar,Casual Dining,Chinese,600.0
11289,Siddu Samayal,No,No,3.7,0,Bommanahalli,Quick Bites,South Indian,200.0
44054,Cafe Poetry,Yes,No,3.7,55,New BEL Road,Cafe,"Cafe, Beverages, Healthy Food",400.0
29151,Royal Biryani Kitchen,Yes,No,3.9,191,BTM,Quick Bites,"Biryani, North Indian, Kebab",600.0
5599,Fava,No,Yes,4.4,2039,Lavelle Road,"Casual Dining, Bar","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab",1200.0
18918,No More Hungry,Yes,No,3.3,214,Jeevan Bhima Nagar,Quick Bites,North Indian,450.0
45551,Chowpatty,Yes,No,3.9,929,Indiranagar,Quick Bites,"North Indian, Fast Food, Street Food",300.0
46960,Wangs Kitchen,No,No,2.5,22,Ulsoor,Casual Dining,Chinese,1000.0
14275,E Foods Regalia,No,No,3.1,11,Electronic City,Quick Bites,"South Indian, Chinese",550.0
43406,MISU,Yes,Yes,4.5,1250,St. Marks Road,"Casual Dining, Bar","Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",1700.0
3183,Old Mumbai Ice Cream,Yes,No,3.8,41,Basavanagudi,Dessert Parlor,Ice Cream,150.0
45364,Empire Restaurant,Yes,No,4.1,8304,Indiranagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0
29543,Bamey's Restro Cafe,Yes,No,4.2,533,Koramangala 5th Block,Casual Dining,"Chinese, Singaporean, Thai, Asian, Nepalese, Momos",600.0
25837,Anu Momos Chinese Kitchen,Yes,No,3.7,120,Kammanahalli,Quick Bites,"Chinese, Thai, Momos",450.0
12438,20 Feet High,Yes,Yes,4.0,933,Church Street,"Casual Dining, Bar","American, Continental, Steak, Salad",1000.0
4164,The Chocolate Heaven - Cakes,Yes,No,3.7,0,Bellandur,"Dessert Parlor, Bakery","Desserts, Bakery, Beverages",600.0
23587,Campus Juice Corner,No,No,3.3,6,Kumaraswamy Layout,Quick Bites,"Fast Food, Juices",100.0
41155,Blue Terrain - Novotel,No,Yes,4.2,515,Marathahalli,Fine Dining,"Spanish, Italian, Mediterranean",2000.0
17944,Burger Bite House,Yes,No,3.7,0,Old Airport Road,Quick Bites,"Burger, Fast Food",500.0
10535,Rayaan's BBQ,Yes,No,3.3,6,BTM,Quick Bites,"North Indian, BBQ",350.0
22962,The Pump House,No,No,4.3,680,JP Nagar,Microbrewery,"Continental, Finger Food",1500.0
28157,Simon Says Brew Works,No,Yes,4.5,1991,Koramangala 5th Block,"Microbrewery, Casual Dining","Continental, American, Italian, Modern Indian, Pizza, Burger",1400.0
34824,Punjabi Swag,Yes,No,3.9,711,BTM,Casual Dining,North Indian,500.0
4200,Dhaba Shaba,Yes,No,3.2,61,Sarjapur Road,Quick Bites,"North Indian, Fast Food",250.0
15992,Foodiction,No,No,3.7,0,HSR,Quick Bites,"Continental, Fast Food, Chinese, Burger",500.0
26471,Swad Punjab Da,Yes,No,4.1,130,BTM,Quick Bites,North Indian,150.0
43831,Sweet Chariot,No,No,2.7,19,New BEL Road,Bakery,"Bakery, Fast Food",500.0
21680,Recipe,Yes,No,4.0,808,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani",500.0
11068,Gundappa Donne Biryani,No,No,3.1,117,Koramangala 7th Block,Quick Bites,Biryani,200.0
8228,Embers - Nandhana Grand Hotel,No,No,3.8,38,Koramangala 6th Block,Casual Dining,"North Indian, South Indian, Thai, Chinese, Continental",900.0
10274,Home Treats,No,No,3.7,0,JP Nagar,"Takeaway, Delivery","Bakery, Desserts",250.0
38263,Samarkand,No,Yes,4.1,2049,Infantry Road,Casual Dining,"North Indian, Mughlai",1600.0
49288,Atithi Grand Veg Hotel,No,No,3.7,0,Sarjapur Road,Quick Bites,South Indian,300.0
43205,Maiera Siddiqha Kabab Centre,No,No,3.7,0,Shivajinagar,Quick Bites,"North Indian, Fast Food",200.0
48536,McDonald's,Yes,No,3.6,262,Bellandur,Quick Bites,"Burger, Fast Food",500.0
4796,Vandana Andhra and Multi Cuisine,Yes,Yes,4.1,481,Sarjapur Road,Casual Dining,"Andhra, Hyderabadi, Biryani, Chinese, North Indian",900.0
3757,Mont Blanc Cafe,Yes,No,3.8,35,Bellandur,Cafe,"Cafe, Bakery, Italian",650.0
8815,White Elefan Coffee and Snack Bar,Yes,No,3.9,45,Koramangala 6th Block,Quick Bites,"Coffee, Fast Food, Chinese, Beverages",550.0
12029,The Konkan - Seafood Restaurant,Yes,Yes,4.4,218,St. Marks Road,Casual Dining,"Seafood, Konkan, Mangalorean",850.0
21613,Dialogues,No,No,4.0,129,JP Nagar,Cafe,"Cafe, Continental",600.0
39503,Pulimunchi,Yes,Yes,4.1,532,Sadashiv Nagar,Casual Dining,"Mangalorean, Seafood",1000.0
30089,Mealsbaba,Yes,No,3.6,57,HSR,"Takeaway, Delivery",North Indian,400.0
48399,Hyderabadi Biryani Hub,Yes,No,3.4,52,Sarjapur Road,Quick Bites,"Biryani, North Indian",600.0
31431,Hang10 Resto N Cafe,Yes,No,3.7,101,BTM,Cafe,"Cafe, North Indian, Chinese",700.0
8742,Big Mishra Pedha,Yes,No,3.3,7,Bannerghatta Road,Sweet Shop,"Mithai, Desserts, Fast Food",300.0
7420,Mad About China,Yes,No,3.9,146,Whitefield,Food Court,"Chinese, Momos",600.0
33911,Udupi Upahar,No,No,3.6,16,Koramangala 7th Block,Quick Bites,"South Indian, North Indian, Chinese",300.0
34843,Manchu Cafe,Yes,No,3.7,24,BTM,Quick Bites,"Chinese, Fast Food, Asian, Beverages, Nepalese, Tibetan",300.0
18025,Wats Ur Scoop?,Yes,No,4.0,56,Indiranagar,Dessert Parlor,"Desserts, Ice Cream",300.0
30843,Naati Manae,Yes,Yes,3.9,485,Koramangala 5th Block,Casual Dining,"North Indian, South Indian, Chinese, Biryani",700.0
5781,Croons,No,No,3.8,26,Brigade Road,Dessert Parlor,Desserts,350.0
21276,Sri Raghavendra Davanagere Benne Dose Hotel,No,No,4.0,38,JP Nagar,Quick Bites,South Indian,200.0
44788,Paratha Plaza,Yes,No,3.7,156,Indiranagar,Quick Bites,North Indian,300.0
35614,Chef Master,Yes,No,3.8,76,Jayanagar,Quick Bites,"Kerala, North Indian, Chinese",300.0
29306,Masale Daan,Yes,No,3.7,0,BTM,Quick Bites,North Indian,350.0
4762,Deli Chats & Sweets,Yes,No,3.7,0,Bellandur,Quick Bites,"Street Food, Mithai",200.0
48444,Happy Endings,Yes,No,4.2,506,Bellandur,"Bakery, Dessert Parlor","Bakery, Desserts, Italian",500.0
34966,Belgian Waffle Factory,Yes,No,4.8,189,Koramangala 5th Block,Dessert Parlor,Desserts,400.0
31477,Royal Biryani Kitchen,Yes,No,3.9,193,BTM,Quick Bites,"Biryani, North Indian, Kebab",600.0
8283,154 Breakfast Club,Yes,Yes,4.0,1509,Koramangala 3rd Block,Cafe,"Cafe, Continental",900.0
34238,Tomago Roast,Yes,No,3.5,12,BTM,Quick Bites,"Fast Food, Beverages",400.0
44961,Bismillah Ambur Biryani,No,No,3.7,0,Indiranagar,Quick Bites,"Biryani, Hyderabadi",200.0
18571,Sanchez Taqueria & Cantina,No,No,4.1,57,Indiranagar,Casual Dining,"Mexican, Tex-Mex",800.0
38062,Zodiac - Fortune Select JP Cosmos Hotel,Yes,Yes,3.8,91,Cunningham Road,Casual Dining,"North Indian, South Indian, Chinese, Continental",1800.0
27342,Hunger Night King,Yes,No,3.6,113,Koramangala 2nd Block,Delivery,"North Indian, Chinese",400.0
33974,Appam & Curry,Yes,No,3.8,18,Koramangala 1st Block,Quick Bites,"Kerala, South Indian",200.0
19786,Krishna Vaibhava,Yes,No,3.5,40,BTM,Casual Dining,"North Indian, South Indian",350.0
47844,White Plate,No,Yes,4.2,264,MG Road,"Casual Dining, Bar","Thai, Continental, North Indian",1500.0
17828,Rahhams,Yes,No,2.8,413,Old Airport Road,Casual Dining,"Mughlai, North Indian, Chinese",700.0
12844,The Taste Adda,No,No,3.7,0,Ulsoor,Quick Bites,"North Indian, Fast Food, Beverages",200.0
13771,Nivaan's Kitchen,No,No,3.7,0,Electronic City,"Takeaway, Delivery","Biryani, North Indian",600.0
44146,NOC Cafe & Catering,Yes,No,3.2,7,New BEL Road,Quick Bites,"North Indian, Fast Food",400.0
34513,Black Cup Cafe,Yes,No,3.7,28,BTM,Cafe,"Cafe, Fast Food, Beverages",400.0
2070,Kailash Parbat,No,No,3.1,28,Bannerghatta Road,Food Court,"North Indian, Street Food",600.0
41118,The Square - Novotel,No,Yes,4.3,764,Marathahalli,Fine Dining,"Continental, North Indian, Japanese, Italian",2500.0
15783,Aasife & Brothers Biriyani Centre,Yes,No,3.9,125,HSR,Casual Dining,"Biryani, North Indian, South Indian, Chinese",600.0
23635,55 Wall Street,No,Yes,3.9,1779,JP Nagar,Bar,"Finger Food, North Indian, Chinese",1300.0
24305,Sri Krishna,No,No,3.7,0,Banaswadi,Quick Bites,Fast Food,300.0
44068,Tasty Castle,No,No,3.7,0,New BEL Road,Quick Bites,"Chinese, North Indian, Rolls",300.0
11609,WAFL CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.0,85,Residency Road,"Dessert Parlor, Quick Bites","Cafe, Fast Food, Desserts, Beverages",400.0
31632,Green Mango Restaurant,No,No,3.7,0,BTM,Quick Bites,"Kerala, South Indian",300.0
11387,Sutra Spice-The Resto Bar,No,No,3.9,31,Koramangala 4th Block,Bar,"South Indian, Andhra",1000.0
30033,Cashmere Nites,Yes,No,3.5,74,Koramangala 6th Block,Casual Dining,Kashmiri,600.0
18441,All Shook Up!,Yes,No,3.9,77,Domlur,"Dessert Parlor, Beverage Shop","Desserts, Beverages",300.0
9274,MK Dabbawala,Yes,No,3.1,5,Koramangala 4th Block,Delivery,North Indian,400.0
1691,Nandhini Paradise,No,No,3.8,915,JP Nagar,Casual Dining,North Indian,600.0
7921,Sizzles,No,No,3.7,0,Whitefield,Casual Dining,"North Indian, Chinese, Continental",800.0
9534,Kombo King,No,No,3.7,0,BTM,Delivery,"North Indian, South Indian",300.0
42334,Monsoon Express,Yes,No,3.4,7,MG Road,"Takeaway, Delivery","Continental, Thai, North Indian",1600.0
1693,Coastal Mama,No,Yes,4.1,466,JP Nagar,Casual Dining,"Konkan, Mangalorean, North Indian, Seafood",700.0
41953,Indiana Burgers,Yes,No,3.6,48,Domlur,Delivery,Burger,300.0
995,Kabab Mehal,Yes,No,3.7,65,JP Nagar,Quick Bites,"Kebab, North Indian, Fast Food, Beverages",400.0
44455,The Fatty Bao - Asian Gastro Bar,Yes,No,4.6,3818,Indiranagar,"Casual Dining, Bar","Japanese, Sushi, Asian",1200.0
14912,Beijing Bites,No,No,3.9,221,Frazer Town,Casual Dining,"Chinese, Thai",850.0
33047,The Food Therapy,No,No,3.7,0,Koramangala 1st Block,"Casual Dining, Bar","North Indian, South Indian, Continental, Chinese",1000.0
37982,Belgian Waffle,No,No,3.7,0,Residency Road,Dessert Parlor,Desserts,250.0
48613,Mighty Paws,Yes,No,4.0,138,Sarjapur Road,Cafe,Cafe,500.0
12369,Aubree,Yes,No,3.7,0,Shivajinagar,"Cafe, Bakery","Cafe, Bakery",400.0
11013,Aaranya Restaurant,Yes,No,3.4,212,HSR,Casual Dining,"North Indian, Chinese, Mughlai",800.0
41146,Bufferia,No,Yes,4.0,362,Marathahalli,"Casual Dining, Bar","Asian, Continental, European, Mediterranean",1500.0
37464,Behrouz Biryani,Yes,No,4.0,114,Residency Road,Delivery,Biryani,650.0
9573,Dice N Dine,Yes,Yes,4.3,1800,Koramangala 5th Block,"Casual Dining, Cafe","Continental, Cafe, Italian, Fast Food, Steak",900.0
18559,Chai Days,Yes,No,4.4,105,Indiranagar,Cafe,"Cafe, Tea, Beverages, Fast Food",200.0
29730,Cakes & Candles,Yes,No,3.1,11,Koramangala 5th Block,"Bakery, Dessert Parlor","Bakery, Desserts",300.0
23605,Shri Vinayaka Ice N Juice,Yes,No,3.7,17,Jayanagar,Quick Bites,"Fast Food, Beverages",200.0
36099,Frozen Bottle,Yes,No,4.1,240,Koramangala 5th Block,Beverage Shop,"Beverages, Desserts, Ice Cream",400.0
26561,Howlin Wolf,Yes,No,4.1,93,HSR,Casual Dining,"Italian, Mediterranean, European, Sandwich",700.0
38335,Riwaz - The Ritz-Carlton,No,Yes,4.1,275,Residency Road,"Fine Dining, Bar",North Indian,4000.0
